"manyID","treatyID","Title","Beg","stateID","Signature","Force","StateName","gptadID","destaID","changes","StateRatification","StateSignature","StateForce","StateEnd","DataCollection"
"EC_1957O:EC_1957A","EC_1957O:EC_1957A","EC","1957","FRA","1957-01-01","1958-01-01","France",NA,"293",1,NA,NA,NA,NA,1
"EC_1957O:EC_1957A","EC_1957O:EC_1957A","EC","1957","ITA","1957-01-01","1958-01-01","Italy",NA,"293",1,NA,NA,NA,NA,1
"EC_1957O:EC_1957A","EC_1957O:EC_1957A","EC","1957","LUX","1957-01-01","1958-01-01","Luxembourg",NA,"293",1,NA,NA,NA,NA,1
"EC_1957O:EC_1957A","EC_1957O:EC_1957A","EC","1957","NLD","1957-01-01","1958-01-01","Netherlands",NA,"293",1,NA,NA,NA,NA,1
"IRQ-SAU[SDA]_1957O","IRQ-SAU[SDA]_1957O","Iraq Saudi Arabia","1957-01-01","IRQ","1957-01-01",NA,"Iraq",NA,"751",1,NA,NA,NA,NA,1
"IRQ-SAU[SDA]_1957O","IRQ-SAU[SDA]_1957O","Iraq Saudi Arabia","1957-01-01","SAU","1957-01-01",NA,"Saudi Arabia",NA,"751",1,NA,NA,NA,NA,1
"LBN-SAU[SDA]_1957O","LBN-SAU[SDA]_1957O","Lebanon Saudi Arabia","1957-01-01","LBN","1957-01-01",NA,"Lebanon",NA,"757",1,NA,NA,NA,NA,1
"LBN-SAU[SDA]_1957O","LBN-SAU[SDA]_1957O","Lebanon Saudi Arabia","1957-01-01","SAU","1957-01-01",NA,"Saudi Arabia",NA,"757",1,NA,NA,NA,NA,1
"EC_1957A","EC_1957A","EC (Treaty Of Rome)","1957-03-25","AUT","1957-03-25","1958-01-01","Austria","130",NA,1,NA,NA,NA,NA,1
"EC_1957A","EC_1957A","EC (Treaty Of Rome)","1957-03-25","BEL","1957-03-25","1958-01-01","Belgium","130",NA,1,1957-11-19,"20904",NA,NA,4
"EC_1957A","EC_1957A","EC (Treaty Of Rome)","1957-03-25","DEU","1957-03-25","1958-01-01","Germany (Prussia)","130",NA,1,1957-07-19,"20904",NA,NA,4
"EC_1957A","EC_1957A","EC (Treaty Of Rome)","1957-03-25","DNK","1957-03-25","1958-01-01","Denmark","130",NA,1,NA,NA,NA,NA,1
"EC_1957A","EC_1957A","EC (Treaty Of Rome)","1957-03-25","ESP","1957-03-25","1958-01-01","Spain","130",NA,1,NA,NA,NA,NA,1
"EC_1957A","EC_1957A","EC (Treaty Of Rome)","1957-03-25","FIN","1957-03-25","1958-01-01","Finland","130",NA,1,NA,NA,NA,NA,1
"EC_1957A","EC_1957A","EC (Treaty Of Rome)","1957-03-25","FRA","1957-03-25","1958-01-01","France","130",NA,1,1957-06-25,"20904",NA,NA,4
"EC_1957A","EC_1957A","EC (Treaty Of Rome)","1957-03-25","GBR","1957-03-25","1958-01-01","United Kingdom","130",NA,1,NA,NA,NA,NA,1
"EC_1957A","EC_1957A","EC (Treaty Of Rome)","1957-03-25","GRC","1957-03-25","1958-01-01","Greece","130",NA,1,NA,NA,NA,NA,1
"EC_1957A","EC_1957A","EC (Treaty Of Rome)","1957-03-25","IRL","1957-03-25","1958-01-01","Ireland","130",NA,1,NA,NA,NA,NA,1
"EC_1957A","EC_1957A","EC (Treaty Of Rome)","1957-03-25","ITA","1957-03-25","1958-01-01","Italy","130",NA,1,1957-06-09,"20904",NA,NA,4
"EC_1957A","EC_1957A","EC (Treaty Of Rome)","1957-03-25","LUX","1957-03-25","1958-01-01","Luxembourg","130",NA,1,1957-11-26,"20904",NA,NA,4
"EC_1957A","EC_1957A","EC (Treaty Of Rome)","1957-03-25","NLD","1957-03-25","1958-01-01","Netherlands","130",NA,1,1957-10-04,"20904",NA,NA,4
"EC_1957A","EC_1957A","EC (Treaty Of Rome)","1957-03-25","PRT","1957-03-25","1958-01-01","Portugal","130",NA,1,NA,NA,NA,NA,1
"EC_1957A","EC_1957A","EC (Treaty Of Rome)","1957-03-25","SWE","1957-03-25","1958-01-01","Sweden","130",NA,1,NA,NA,NA,NA,1
"BNLXEU_1958O","BNLXEU_1958O","Benelux Economic Union","1958-02-03","BEL","1958-02-03","1960-01-01","Belgium",NA,"706",1,NA,"21219",NA,NA,2
"BNLXEU_1958O","BNLXEU_1958O","Benelux Economic Union","1958-02-03","LUX","1958-02-03","1960-01-01","Luxembourg",NA,"706",1,NA,"21219",NA,NA,2
"BNLXEU_1958O","BNLXEU_1958O","Benelux Economic Union","1958-02-03","NLD","1958-02-03","1960-01-01","Netherlands",NA,"706",1,NA,"21219",NA,NA,2
"CNAFTA_1958O","CNAFTA_1958O","Central American Free Trade Area","1958-06-10","CRI","1958-06-10","1959-06-02","Costa Rica",NA,"189",1,1963-09-23,"21711",NA,NA,4
"CNAFTA_1958O","CNAFTA_1958O","Central American Free Trade Area","1958-06-10","GTM","1958-06-10","1959-06-02","Guatemala",NA,"189",1,1959-06-02,"21711",NA,NA,4
"CNAFTA_1958O","CNAFTA_1958O","Central American Free Trade Area","1958-06-10","HND","1958-06-10","1959-06-02","Honduras",NA,"189",1,1961-04-05,"21711",NA,NA,4
"CNAFTA_1958O","CNAFTA_1958O","Central American Free Trade Area","1958-06-10","NIC","1958-06-10","1959-06-02","Nicaragua",NA,"189",1,1959-02-17,"21711",NA,NA,4
"CNAFTA_1958O","CNAFTA_1958O","Central American Free Trade Area","1958-06-10","SLV","1958-06-10","1959-06-02","El Salvador",NA,"189",1,1959-04-29,"21711",NA,NA,4
"EGY-SAU[SDA]_1958O","EGY-SAU[SDA]_1958O","Egypt Saudi Arabia","1958-01-01","EGY","1958-01-01",NA,"Egypt",NA,"729",1,NA,NA,NA,NA,1
"EGY-SAU[SDA]_1958O","EGY-SAU[SDA]_1958O","Egypt Saudi Arabia","1958-01-01","SAU","1958-01-01",NA,"Saudi Arabia",NA,"729",1,NA,NA,NA,NA,1
"EGY-SYR[SYR]_1958O","EGY-SYR[SYR]_1958O","Egypt Syria","1958-01-01","EGY","1958-01-01",NA,"Egypt",NA,"731",1,NA,NA,NA,NA,1
"EGY-SYR[SYR]_1958O","EGY-SYR[SYR]_1958O","Egypt Syria","1958-01-01","SYR","1958-01-01",NA,"Syria",NA,"731",1,NA,NA,NA,NA,1
"IND-JPN[NA]_1958O","IND-JPN[NA]_1958O","India Japan","1958-02-04","IND","1958-02-04",NA,"India","242",NA,1,NA,"21220",NA,NA,2
"IND-JPN[NA]_1958O","IND-JPN[NA]_1958O","India Japan","1958-02-04","JPN","1958-02-04",NA,"Japan","242",NA,1,NA,"21220",NA,NA,2
"EQTRCU_1959O","EQTRCU_1959O","Equatorial Customs Union","1959-06-23","CAF","1959-06-23","1962-07-01","Central African Republic",NA,"422",1,NA,"21724","1962-07-01",NA,2
"EQTRCU_1959O","EQTRCU_1959O","Equatorial Customs Union","1959-06-23","COG","1959-06-23","1962-07-01","Congo - Brazzaville",NA,"422",1,NA,"21724","1962-07-01",NA,2
"EQTRCU_1959O","EQTRCU_1959O","Equatorial Customs Union","1959-06-23","GAB","1959-06-23","1962-07-01","Gabon",NA,"422",1,NA,"21724","1962-07-01",NA,2
"EQTRCU_1959O","EQTRCU_1959O","Equatorial Customs Union","1959-06-23","TCD","1959-06-23","1962-07-01","Chad",NA,"422",1,NA,"21724","1962-07-01",NA,2
"WSTACU_1959O","WSTACU_1959O","West African Customs Union (UDAO)","1959-01-01","BEN","1959-01-01",NA,"Benin",NA,"779",1,NA,NA,NA,NA,1
"WSTACU_1959O","WSTACU_1959O","West African Customs Union (UDAO)","1959-01-01","BFA","1959-01-01",NA,"Burkina Faso",NA,"779",1,NA,NA,NA,NA,1
