X;Title;Beg;Location;X.1;
149;Greenland Sweden;1984;;;
150;Madagascar Mauritius (under Indian Ocean Commission);1984;;;
151;Chile Uruguay;1985;;;
152;Cuba Mexico;1985;;;
153;Dominican Republic Panama;1985;WTO(http://rtais.wto.org/UI/CRShowRTAIDCard.aspx?rtaid=385);;
154;Greenland Iceland;1985;;;
155;Guatemala Mexico;1985;;;
156;Guatemala Venezuela;1985;;;
157;Honduras Mexico;1985;;;
158;Mexico Nicaragua;1985;;;
159;Mexico Panama;1985;;;
160;Argentina Brazil;1986;;;
161;Argentina Mexico;1986;WTO(http://rtais.wto.org/UI/CRShowRTAIDCard.aspx?rtaid=661);;
162;Argentina Venezuela;1986;;;
163;Brazil Uruguay;1986;;;
164;Costa Rica Venezuela;1986;;;
165;EC Single European Act;1986;;;
166;EC Single European Act;1986;;;
167;El Salvador Mexico;1986;;;
168;El Salvador Panama;1986;;;
169;El Salvador Venezuela;1986;;;
170;Honduras Venezuela;1986;;;
171;Jordan Kuwait;1986;;;
172;Mauritania Morocco;1986;;;
173;Mexico Uruguay;1986;;;
174;Nicaragua Venezuela;1986;;;
175;Andean Group Quito Protocol;1987;;;
176;Andean Group Quito Protocol;1987;;;
177;Cuba Peru;1987;;;
178;Cuba Uruguay;1987;;;
179;Mexico Peru;1987;;;
180;Argentina Brazil;1988;;;
181;Argentina Colombia;1988;;;
182;Argentina Peru;1988;;;
183;Australia New Zealand (ANZCERTA) Protocol On Services;1988;;;
184;Australia New Zealand (ANZCERTA) Protocol On Services;1988;;;
185;Botswana Zimbabwe;1988;;;
186;Canada US;1988;;;
187;Colombia Cuba;1988;;;
188;Egypt Morocco;1988;;;
189;Global System Of Trade Preferences (GSTP);1988;WTO(http://rtais.wto.org/UI/CRShowRTAIDCard.aspx?rtaid=146);;
190;Kuwait Tunisia;1988;;;
191;Algeria Morocco;1989;;;
192;Andorra EC;1989;;;
193;Argentina Mexico;1989;;;
194;Argentina Mexico;1989;;;
195;Argentina Paraguay;1989;;;
196;Brazil Cuba;1989;;;
197;Jordan Sudan Amended;1989;;;
198;Jordan Sudan Amended;1989;;;
199;Lome 4;1989;;;
200;Trinidad And Tobago Venezuela;1989;;;
201;Argentina Brazil;1990;;;
202;Egypt Libya;1990;;;
203;Guyana Venezuela;1990;;;
204;Libya Morocco;1990;;;
205;Bhutan India;1990;;;
206;Malawi South Africa;1990;;;
207;African Economic Community;1991;;;
208;Argentina Chile;1991;;;
209;Australia Papua New Guinea;1991;;;
210;Bolivia Uruguay;1991;;;
211;Central American Integration System;1991;;;
212;Chile Mexico;1991;;;
213;Czech Republic EC;1991;;;
214;EC Faroe Islands;1991;;;
215;Economic Cooperation Organization (ECO) Preferences;1991;WTO (http://rtais.wto.org/UI/CRShowRTAIDCard.aspx?rtaid=128);;
216;Egypt Syria;1991;;;
217;Estonia Sweden;1991;;;
218;Lithuania Sweden;1991;;;
219;El Salvador Guatemala;1991;;;
220;Argentina Bolivia;1992;;;
221;Argentina Venezuela;1992;;;
222;Azerbaijan Russia;1992;WTO(http://rtais.wto.org/UI/CRShowRTAIDCard.aspx?rtaid=830);;
223;Belarus Russia;1992;;;
224;Brazil Cuba;1992;;;
225;Brazil Cuba;1992;;;
226;Caribbean Community (CARICOM) Venezuela;1992;;;
227;Central European Free Trade Agreement (CEFTA);1992;;;
