"","manyID","CountryID","Title","Beg"
"71","EQTRCU_1959O:EQTRCU_1959O","GAB","Equatorial Customs Union","1959"
"72","EQTRCU_1959O:EQTRCU_1959O","COG","Equatorial Customs Union","1959"
"73","WSTACU_1959O:WSTACU_1959O","SEN","West African Customs Union (UDAO)","1959"
"74","WSTACU_1959O:WSTACU_1959O","MLI","West African Customs Union (UDAO)","1959"
"75","WSTACU_1959O:WSTACU_1959O","MRT","West African Customs Union (UDAO)","1959"
"76","WSTACU_1959O:WSTACU_1959O","NER","West African Customs Union (UDAO)","1959"
"77","WSTACU_1959O:WSTACU_1959O","BFA","West African Customs Union (UDAO)","1959"
"78","WSTACU_1959O:WSTACU_1959O","BEN","West African Customs Union (UDAO)","1959"
"79","WSTACU_1959O:WSTACU_1959O","CIV","West African Customs Union (UDAO)","1959"
"80","AUS-CAN[NA]_1960O:AUS-CAN[NA]_1960O","AUS","Australia Canada","1960"
"81","AUS-CAN[NA]_1960O:AUS-CAN[NA]_1960O","CAN","Australia Canada","1960"
"82","CNTACM_1960O:CNTACM_1960O","SLV","Central American Common Market (CACM)","1960"
"83","CNTACM_1960O:CNTACM_1960O","GTM","Central American Common Market (CACM)","1960"
"84","CNTACM_1960O:CNTACM_1960O","HND","Central American Common Market (CACM)","1960"
"85","CNTACM_1960O:CNTACM_1960O","NIC","Central American Common Market (CACM)","1960"
"86","EFTA_1960O:EFTA_1960O","AUT","EFTA","1960"
"87","EFTA_1960O:EFTA_1960O","DNK","EFTA","1960"
"88","EFTA_1960O:EFTA_1960O","PRT","EFTA","1960"
"89","EFTA_1960O:EFTA_1960O","CHE","EFTA","1960"
"90","EFTA_1960O:EFTA_1960O","NOR","EFTA","1960"
"91","EFTA_1960O:EFTA_1960O","SWE","EFTA","1960"
"92","EFTA_1960O:EFTA_1960O","GBR","EFTA","1960"
"93","FIN-RUS[NA]_1960O:FIN-RUS[NA]_1960O","FIN","Finland USSR","1960"
"94","FIN-RUS[NA]_1960O:FIN-RUS[NA]_1960O","RUS","Finland USSR","1960"
"95","LTAFTA_1960O:LTAFTA_1960O","ARG","Latin American Free Trade Area (LAFTA)","1960"
"96","LTAFTA_1960O:LTAFTA_1960O","BRA","Latin American Free Trade Area (LAFTA)","1960"
"97","LTAFTA_1960O:LTAFTA_1960O","CHL","Latin American Free Trade Area (LAFTA)","1960"
"98","LTAFTA_1960O:LTAFTA_1960O","MEX","Latin American Free Trade Area (LAFTA)","1960"
"99","LTAFTA_1960O:LTAFTA_1960O","PRY","Latin American Free Trade Area (LAFTA)","1960"
"100","LTAFTA_1960O:LTAFTA_1960O","PER","Latin American Free Trade Area (LAFTA)","1960"
"101","LTAFTA_1960O:LTAFTA_1960O","URY","Latin American Free Trade Area (LAFTA)","1960"
"102","TRTYEA_1960A","GTM","Treaty Of Economic Association","1960"
"103","TRTYEA_1960A","SLV","Treaty Of Economic Association","1960"
"104","TRTYEA_1960A","HND","Treaty Of Economic Association","1960"
"105","EFTA_1960A","AUT","EFTA (Stockholm Convention)","1960-04-01"
"106","EFTA_1960A","DNK","EFTA (Stockholm Convention)","1960-04-01"
"107","EFTA_1960A","NOR","EFTA (Stockholm Convention)","1960-04-01"
"108","EFTA_1960A","PRT","EFTA (Stockholm Convention)","1960-04-01"
"109","EFTA_1960A","SWE","EFTA (Stockholm Convention)","1960-04-01"
"110","EFTA_1960A","CHE","EFTA (Stockholm Convention)","1960-04-01"
"111","EFTA_1960A","GBR","EFTA (Stockholm Convention)","1960-04-01"
