"HUGGO_RowNumber";"manyID";"Title";"Signature";"Force";"url";"End";"Checked_HUGGO";"Parties";"No_source";"MetaData_confirmed";"treatyID"
239;"DOM-PAN[NA]_1985O";"Panama Dominican Republic";"1985-07-17";"1987-06-08";"http://www.sice.oas.org/Trade/preftrade/PAN_DR/pandoms1.asp";NA;1;"Panama, Dominican Republic";NA;2;"DOM-PAN[NA]_1985O"
240;"ARG-BRA[NA]_1986O:ARG-BRA[NA]_1986O";"Argentina Brazil";"1986-07-29";"1987-01-01";"https://www.jstor.org/stable/20693239#metadata_info_tab_contents";NA;1;"Argentina, Brazil";NA;2;"ARG-BRA[NA]_1986O:ARG-BRA[NA]_1986O"
243;"BRA-URY[NA]_1986O:BRA-URY[NA]_1982O";"Brazil Uruguay";"1986-09-30";"1986-10-01";"http://www.sice.oas.org/Trade/BRA_UR/BRA_UR_text_s.asp";NA;1;"Uruguay, Brazil";NA;2;"BRA-URY[NA]_1986O:BRA-URY[NA]_1982O"
244;"CRI-VEN[VNZ]_1986O";"Costa Rica Venezuela";"1986-08-15";"";"http://www.sice.oas.org/Trade/vencr/vencr.asp";NA;1;"Venezuela, Costa Rica";NA;2;"CRI-VEN[VNZ]_1986O"
245;"ECSNEA_1986A";"EC Single European Act";"1986-02-17";"1987-07-01";"https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L:1987:169:FULL&from=EN";NA;1;"Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Portugal, United Kingdom";NA;2;"ECSNEA_1986A"
248;"SLV-VEN[VNZ]_1986O";"El Salvador Venezuela";"1986-03-10";"";"http://www.sice.oas.org/Trade/vensal/vensal1.asp";NA;1;"El Salvador, Venezuela";NA;2;"SLV-VEN[VNZ]_1986O"
249;"HND-VEN[VNZ]_1986O";"Honduras Venezuela";"1986-02-20";"";"http://www.sice.oas.org/Trade/venhon/venhon1.asp#ACUERDO";NA;1;"Venezuela, Honduras";NA;2;"HND-VEN[VNZ]_1986O"
250;"JOR-KWT[NA]_1986O:JOR-KWT[NA]_1986O";"Jordan Kuwait";"1986-10-19";"";"https://faolex.fao.org/docs/pdf/jor62839.pdf";NA;1;"Kuwait, Jordan";NA;2;"JOR-KWT[NA]_1986O:JOR-KWT[NA]_1986O"
253;"NIC-VEN[VNZ]_1986O";"Nicaragua Venezuela";"1986-08-15";"";"http://www.sice.oas.org/Trade/vennic/vennic1.asp#CAP%C3%8DTULO_I_";NA;1;"Nicaragua, Venezuela";NA;2;"NIC-VEN[VNZ]_1986O"
267;"GLBSTP_1988O";"Global System Of Trade Preferences (GSTP)";"1988-04-12";NA;"https://unctad.org/system/files/official-document/ditcmisc57_en.pdf";NA;1;"Algeria, Mexico, Angola, Morocco, Argentina, Mozambique, Bangladesh, Nicaragua, Benin, Nigeria, Bolivia, Pakistan, Brazil, Peru, Cameroon, Philippines, Chile, Qatar, Colombia, Republic of Korea, Cuba, Romania, Democratic People’s Republic of Korea, Singapore, Ecuador, Sri Lanka, Egypt, Sudan, Ghana, Thailand, Guinea, Trinidad and Tobago, Guyana, Tunisia, Haiti, United Republic of Tanzania, India, Uruguay, Indonesia, Venezuela, Iran, Vietnam, Iraq, Yugoslavia, Libyan Arab Jamahiriya, Zaire, Malaysia, Zimbabwe";NA;1;"GLBSTP_1988O"
280;"LOME_1989O4:LOME_1975O1";"Lome 4";"1989-12-15";"1990-03-01";"https://edit.wti.org/document/show/pdf/ba140599-d4ec-4153-a4f0-8a1ad402021b";"2000-08-01";1;"Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Portugal, United Kingdom, Angola, Barbuda, Bahamas, Barbados, Belize, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Cape Verde, Central African Republic, Comoros, Congo, Ivory Coast, Djibouti, Dominica, Dominican Republic, Ethiopia, Fiji, Gabon, Gambia, Ghana, Grenada, Guinea, Guinea-Bissau, Equatorial Guinea, Guyana, Haiti, Jamaica, Kenya, Kiribati, Lesotho, Liberia, Madagascar, Malawi, Mali, Mauritania, mauritius, Mozambique, Niger, Nigeria, Uganda, Papua New Guinea, Rwanda, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Western Samoa, Sao Tome and Principe, Senegal, Seychelles, Sierra Leone, Solomon Islands, Somalia, Sudan, Suriname, Swaziland, Tanzania, Chad, Togo, Tonga, Trinidad and Tobago, Tuvalu, Vanuatu, Zaire, Zambia, Zimbabwe";NA;1;"LOME_1989O4:LOME_1975O1"
281;"TTO-VEN[VNZ]_1989O";"Trinidad And Tobago Venezuela";"1989-08-04";"";"http://www.sice.oas.org/Trade/ventt/ventt1.asp#CAP%C3%8DTULO_I_";NA;1;"Trinidad and Tobago, Venezuela";NA;2;"TTO-VEN[VNZ]_1989O"
283;"ARBMGU_1989O";"Arab Maghreb Union";"1989-02-17";"";"https://wits.worldbank.org/GPTAD/PDF/archive/MAGHREB.pdf";NA;1;"Morocco, Tunisia, Algeria, Libya";NA;2;"ARBMGU_1989O"
284;"ARG-BRA[NA]_1990O:ARG-BRA[NA]_1986O";"Argentina Brazil";"1990-12-20";"1990-12-20";"http://www.sice.oas.org/Trade/ARG_BRA/ARGBRA_text_s.asp#CAP1";NA;1;"Argentina, Brazil";NA;2;"ARG-BRA[NA]_1990O:ARG-BRA[NA]_1986O"
286;"GUY-VEN[VNZ]_1990O";"Guyana Venezuela";"1990-10-27";"1991-06-28";"http://www.sice.oas.org/Trade/vengu/vengu.asp";NA;1;"Venezuela, Guyana";NA;2;"GUY-VEN[VNZ]_1990O"
292;"AFRCEC_1991O";"African Economic Community";"1991-06-03";"1994-05-12";"https://au.int/sites/default/files/treaties/37636-treaty-0016_-_treaty_establishing_the_african_economic_community_e.pdf";NA;1;"Algeria, Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Cape Verde, Central African Republic, Comoros, Congo, Ivory Coast, Djibouti, Egypt, Ethiopia, Equatorial Guinea, Gabon, Gambia, Republic of Guinea, Republic of Guinea Bissau, Kenya, Lesotho, Liberia, Libya, Madagascar, Malawi, Mali, Mauritania, Mauritius, Mozambique, Namibia, Niger, Nigeria, Rwanda, Sahwai, Sao Tome and Principe, Senegal, Seychelles, Sierra Leone, Somalia, Sudan, Swaziland, Tanzania, Tchad, Togo, Tunisia, Uganda, Zaire, Zambia, Zimbabwe";NA;2;"AFRCEC_1991O"
293;"ARG-CHL[NA]_1991O:ARG-CHL[NA]_1991O";"Argentina Chile";"1991-08-02";"1991-08-02";"http://www.sice.oas.org/Trade/argchi/indice_s.asp";NA;1;"Argentina, Chile";NA;2;"ARG-CHL[NA]_1991O:ARG-CHL[NA]_1991O"
294;"AUS-PNG[NA]_1991O:AUS-PNG[NA]_1976O";"Australia Papua New Guinea";"1991-02-21";"1991-09-20";"http://www.austlii.edu.au/au/other/dfat/treaties/1991/37.html";NA;1;"Australia, Papua New Guinea";NA;1;"AUS-PNG[NA]_1991O:AUS-PNG[NA]_1976O"
299;"ECFRIS_1991O:ECFRIS_1991O";"EC Faroe Islands";"1991-12-02";"";"https://www.worldtradelaw.net/document.php?id=fta/agreements/ecfarisfta.pdf&mode=download";"1997-01-01";1;"Belgium, France, Germany, Italy, Luxembourg, Netherlands, Denmark, Ireland, United Kingdom, Greece, Spain, Portugal, The Faroe Islands";NA;1;"ECFRIS_1991O:ECFRIS_1991O"
307;"MERCSR_1991O";"MERCOSUR";"1991-03-26";"1991-12-06";"https://wits.worldbank.org/GPTAD/PDF/archive/MERCOSUR.pdf";NA;1;"Argentina, Brazil, Paraguay, Uruguay";NA;2;"MERCSR_1991O"
308;"IND-NPL[NA]_1991O:IND-NPL[NA]_1991O";"India Nepaln";"1991-12-06";"1991-12-06";"https://wits.worldbank.org/GPTAD/PDF/archive/India-Nepal.pdf";NA;1;"Nepal, India";NA;2;"IND-NPL[NA]_1991O"
309;"LAO-THA[LAS]_1991O";"Lao Peoples Democratic Republic Thailand";"1991-06-20";"1991-06-20";"https://www.wto.org/gatt_docs/English/SULPDF/91600059.pdf";NA;1;"Thailand, Laos";NA;2;"LAO-THA[LPD]_1991O"
312;"EFTTRK_1991O:EFTTRK_1991O";"EFTA Turkey";"1991-12-10";"1992-04-01";"https://wits.worldbank.org/GPTAD/PDF/archive/EFTA-Turkey.pdf";"2018-06-25";1;"Iceland, Liechtenstein, Norway, Switzerland, Turkey";NA;2;"EFTTRK_1991O"
319;"ECHNGR_1991O";"EC Hungary";"1991-12-16";"1994-02-01";"https://wits.worldbank.org/GPTAD/PDF/archive/EC-Hungary.pdf";NA;1;"Belgium, Denmark, Germany, Greece, Spain, France, ireland, Italy, Luxembourg, Netherlands, Portugal, United Kingdom, Hungary";NA;2;"ECHNGR_1991O"
320;"ECPLND_1991O";"EC Poland";"1991-12-16";"1994-02-01";"https://wits.worldbank.org/GPTAD/PDF/archive/EC-Poland.pdf";"2004-05-01";1;"Belgium, Denmark, Germany, Greece, Spain, France, ireland, Italy, Luxembourg, Netherlands, Portugal, United Kingdom, Poland";NA;2;"ECPLND_1991O"
321;"ECSNMR_1991O";"EC San Marino";"1991-12-16";"2002-04-01";"https://wits.worldbank.org/GPTAD/PDF/archive/EC-SanMarino.pdf";NA;1;"Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Portugal, United Kingdom, San Marino";NA;2;"ECSNMR_1991O"
324;"AZE-RUS[RSS]_1992O";"Azerbaijan Russia";"1992-09-30";"1993-02-17";"http://rtais.wto.org/rtadocs/830/TOA/English/RF-Azerbaijan%20FTA_text%20with%20protocols.doc";NA;1;"Azerbaijan, Russia";NA;2;"AZE-RUS[RSS]_1992O"
326;"CRBBCV_1992O";"Caribbean Community (CARICOM) Venezuela";"1992-10-13";"1993-01-01";"http://www.sice.oas.org/trade/cariven1.asp";NA;1;"Venezuela,  Antigua and Barbuda, The Bahamas, Barbados, Belize, Dominica, Grenada, Guyana, Haiti, Jamaica, Montserrat, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Suriname, Trinidad and Tobago";NA;2;"CRBBCV_1992O"
328;"ECMSTR_1992O";"EC Maastricht";"1992-02-07";"1993-11-01";"https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:11992M/TXT&from=EN";NA;NA;"Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Portugal, United Kingdom";NA;1;"ECMSTR_1992O"
335;"JOR-LBN[NA]_1992O:JOR-LBN[NA]_1992O";"Jordan Lebanon";"1992-10-01";"";"http://www2.ecolex.org/server2neu.php/libcat/docs/TRE/Full/Other/TRE-150042.pdf";NA;1;"Jordan, Lebanon";NA;2;"JOR-LBN[NA]_1992O:JOR-LBN[NA]_1992O"
339;"LVA-SWE[NA]_1992O";"Latvia Sweden";"1992-03-10";"";"https://www.un-ilibrary.org/content/books/9789210453561s002-c012/read";NA;NA;"Sweden, Latvia";1;2;"LVA-SWE[NA]_1992O"
340;"CHE-LVA[NA]_1992O";"Latvia Switzerland";"1992-12-22";"1994-03-01";NA;"2004-05-01";NA;"Switzerland, Latvia";1;2;"CHE-LVA[NA]_1992O"
343;"NAM-ZWE[NA]_1992O";"Namibia Zimbabwe";"1992-08-17";"1993-04-30";"https://wits.worldbank.org/GPTAD/PDF/archive/Namibia-Zimbabwe.pdf";NA;1;"Namibia, Zimbabwe";NA;2;"NAM-ZWE[NA]_1992O"
344;"RUS-TKM[RSS]_1992O";"Russia Turkmenistan";"1992-11-11";"1993-01-01";"http://rtais.wto.org/rtadocs/862/TOA/English/Text%20of%20Agreement%20RF-Turkmenistan.docx";NA;1;"Russia, Turkmenistan";NA;2;"RUS-TKM[RSS]_1992O"
345;"STHADC_1992O:STHADC_1992O";"Southern African Development Community (SADC)";"1992-08-17";"1993-09-30";"https://www.jus.uio.no/english/services/library/treaties/09/9-01/sadc_treaty_consolidated.xml";NA;1;"Angola, Botswana, COngo, Lesotho, Malawi, Mauritius, Mozambique, Namibia, Seychelles, South Africa, Swaziland, Tanzania, Zambia, Zimbabwe";NA;1;"STHADC_1992O:STHADC_1992O"
360;"ERPNEA_1992O";"European Economic Area (EEA)";"1993-03-17";"1994-01-01";"https://www.efta.int/media/documents/legal-texts/eea/the-eea-agreement/Main%20Text%20of%20the%20Agreement/EEAagreement.pdf";NA;1;"Belgium, Bulgaria, Czech Republic, Denmark, Germany, Estonia, Ireland, Greece, Spain, France, Croatia, Italy, Cyprus, Latvia, Lithuania, Luxembourg, Hungary, Malta, Netherlands, Austria, Poland, Portugal, Romania, Slovenia, Slovakia, Finland, Sweden, United Kingdom, Iceland, Liechtenstein, Norway";NA;1;"ERPNEA_1992O"
362;"FRO-ISL[NA]_1992O:FRO-ISL[NA]_1992O";"Faroe Islands Iceland";"1992-08-06";"1993-07-01";"https://www.worldtradelaw.net/document.php?id=fta/agreements/farisicefta.pdf&mode=download";NA;1;"Faroe Islands, Iceland";NA;2;"FRO-ISL[NA]_1992O:FRO-ISL[NA]_1992O"
367;"KGZ-RUS[RSS]_1992O";"Kyrgyzstan Russia";"1992-10-08";"1993-04-24";"https://wits.worldbank.org/GPTAD/PDF/archive/Kyrgyzstan-RussianFed.pdf";NA;1;"Kyrgyzstan, Russia";NA;2;"KGZ-RUS[RSS]_1992O"
368;"FRO-NOR[NA]_1992O";"Faroe Islands Norway";"1992-08-28";"1992-09-01";"https://www.worldtradelaw.net/document.php?id=fta/agreements/farisnorfta.pdf&mode=download";NA;1;"Norway, Faroe Islands";NA;2;"FRO-NOR[NA]_1992O"
369;"EFTISR_1992O";"EFTA Israel";"1992-09-17";"1993-01-01";"https://www.efta.int/media/documents/legal-texts/free-trade-relations/israel/EFTA-Israel%20Free%20Trade%20Agreement.pdf";"2021-08-01";1;"Iceland, Liechtenstein, Norway, Switzerland, Israel";NA;1;"EFTISR_1992O"
370;"ARM-RUS[RSF]_1992O";"Armenia Russian Federation";"1992-09-30";"1993-03-25";"https://www.worldtradelaw.net/document.php?id=fta/agreements/armrusfta.pdf&mode=download";NA;1;"Russia, Armenia";NA;2;"ARM-RUS[RSF]_1992O"
373;"RUS-TJK[RSF]_1992O";"Russian Federation Tajikistan";"1992-10-10";"";"http://rtais.wto.org/rtadocs/834/TOA/English/RF-Tajikistan FTA_text  with protocols.doc";NA;1;"Russia, Tajikistan";NA;2;"RUS-TJK[RSF]_1992O"
374;"EFTPLN_1992O";"EFTA Poland";"1992-12-10";"1993-11-15";"https://wits.worldbank.org/GPTAD/PDF/archive/EFTA-Poland.pdf";NA;1;"Iceland, Liechtenstein, Norway, Switzerland, Poland";NA;2;"EFTPLN_1992O"
375;"EFTRMN_1992O";"EFTA Romania";"1992-12-10";"1993-05-01";"https://wits.worldbank.org/GPTAD/PDF/archive/EFTA-Romania.pdf";NA;1;"Iceland, Liechtenstein, Norway, Switzerland, Romania";NA;2;"EFTRMN_1992O"
377;"KAZ-RUS[RSF]_1992O";"Russian Federation Kazakhstan";"1992-10-22";"1993-06-07";"http://rtais.wto.org/rtadocs/832/TOA/English/RF-Kazakhstan FTA _text with protocols.doc";NA;1;"Kazakhstan, Russia";NA;2;"KAZ-RUS[RSF]_1992O"
378;"CZE-SVK[CSE]_1992O";"Czech Republic Slovak Republic Customs Union";"1992-11-23";"1993-01-01";"http://www.cawater-info.net/bk/water_law/pdf/czech-slovak_1992.pdf";NA;1;" Czech Republic, Slovakia";NA;2;"CZE-SVK[SCU]_1992O"
380;"BLR-RUS[RSF]_1992O:BLR-RUS[RSS]_1992O";"Russian Federation Belarus";"1992-11-13";"";"https://cis-legislation.com/document.fwx?rgn=18168";NA;1;"Russia, Belarus";NA;2;"BLR-RUS[RSF]_1992O"
386;"NRTAFT_1992A";"North American Free Trade Agreement (NAFTA)";"1992-12-17";"1994-01-01";"https://www.italaw.com/sites/default/files/laws/ITA%20LAW%207029_0.pdf";"2020-07-01";1;"Mexico, Canada, United States";NA;1;"NRTAFT_1992A"
387;"BLR-UKR[UKR]_1992O";"Ukraine Belarus";"1992-12-17";"1999-03-19";"https://wits.worldbank.org/GPTAD/PDF/archive/belarus-ukraine.pdf";NA;1;"Ukraine, Belarus";NA;2;"BLR-UKR[UKR]_1992O"
388;"CNTEFT_1992A";"Central European Free Trade Agreement (CEFTA)";"1992-12-21";"1993-03-01";"https://www.worldtradelaw.net/document.php?id=fta/agreements/cefta.pdf&mode=download";NA;1;"Czech Republic, Hungary, Poland, Slovakia";NA;2;"CNTEFT_1992A"
393;"BLFTAI_1993O";"Baltic Free Trade Area (BAFTA) Industrial";"1993-09-13";"1994-04-01";"https://wits.worldbank.org/GPTAD/PDF/archive/BAFTA-Indus.pdf";"2004-05-01";1;"Estonia, Latvia, Lithuania";NA;1;"BLFTAI_1993O"
396;"EEUAKR_2014O";"Bulgaria EC";"1993-03-08";"1994-02-01";"https://edit.wti.org/document/show/0ebd5276-ed7e-4e16-ad9c-c18cf1435998?textblockid=d670ad45-b700-4494-a94b-a3a9dc9d6bb7&page=1";"2007-01-01";1;"Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Portugal, United Kingdom, Bulgaria";NA;1;"BLGREC_1993O"
397;"BLGREC_1993O";"Bulgaria EFTA";"1993-03-29";"1994-01-01";"https://wits.worldbank.org/GPTAD/PDF/archive/EFTA-Bulgaria.pdf";"2007-01-01";1;"Iceland, Liechtenstein, Norway, Switzerland, Bulgaria";NA;1;"BLGREF_1993O"
399;"COL-PAN[NA]_1993O:COL-PAN[NA]_1993O";"Colombia Panama";"1993-07-09";"1995-01-18";"http://www.sice.oas.org/Trade/colpan/colpan_s1.asp#CAPITULO_I:";NA;NA;"Colombia, Panama";NA;2;"COL-PAN[NA]_1993O:COL-PAN[NA]_1993O"
400;"ECESTN_1993O";"EC Estonia";"1992-07-17";"1993-03-02";"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:21993A0309(01)&qid=1645697082283&from=EN";NA;NA;"Belgium, Denmark, France, Germany, Greece, Ireland, Italy, Luxembourg, Portugal, Spain, Netherlands, United Kingdom, Estonia";NA;2;"ECESTN_1993O"
405;"SA05TA_1993A";"South Asian Association For Regional Cooperation Preferential Trading Arrangement (SAPTA)";"1993-04-11";"1995-12-07";"https://commerce.gov.in/wp-content/uploads/2020/09/Agreement_SAARC_SAPTA.pdf";NA;NA;"Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan, Sri Lanka";NA;2;"SA05TA_1993A"
409;"ECROMN_1993O";"EC Romania";"1993-02-01";"";"https://wits.worldbank.org/GPTAD/PDF/archive/EC-Romania.pdf";"2007-01-01";NA;"Belgium, Denmark, Germany, Greece, Spain, France, Ireland, Italy, Luxembourg, Netherlands, Portugal, United Kingdom, Romania";NA;2;"ECROMN_1993O"
412;"CHL-VEN[VNZ]_1993O";"Chile Venezuela";"1993-04-02";"1993-07-01";"https://edit.wti.org/document/show/c0981d04-7d7d-4a2e-891b-24dab65bea49";NA;NA;"Chile, Venezuela";NA;1;"CHL-VEN[VNZ]_1993O"
416;"BLGREF_1993O";"EFTA Bulgaria";"1993-03-29";"1994-01-01";"https://wits.worldbank.org/GPTAD/PDF/archive/EFTA-Bulgaria.pdf";"2007-01-01";NA;"Iceland, Liechtenstein, Norway, Switzerland, Bulgaria";NA;1;"EFTBLG_1993O"
418;"EFTHNG_1993O";"EFTA Hungary";"1993-03-29";"1993-10-01";"https://wits.worldbank.org/GPTAD/PDF/archive/EFTA-Hungary.pdf";"2004-05-01";NA;"Iceland, Liechtenstein, Norway, Switzerland, Hungary";NA;1;"EFTHNG_1993O"
420;"STAPTA_1993A";"South Asian Preferential Trade Arrangement (SAPTA)";"1993-04-11";"1995-12-07";"https://www.lawnet.gov.lk/agreement-on-sapta-saarc-preferential-trading-arrangement/";NA;NA;"Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan, Sri Lanka";NA;2;"STAPTA_1993A"
421;"ECSLVK_1993O";"EC Slovenia";"1993-04-05";"1993-09-01";"https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A21993A0729%2801%29";NA;1;"United Kingdom, France, Germany, Ireland, Spain, Portugal, Italy, Greece, Denmark, Luxembourg, Belgium, Netherlands, Slovenia";NA;2;"ECSLVN_1993O"
422;"BOL-CHL[BLV]_1993O";"Bolivia Chile";"1993-04-06";"1993-04-06";"http://www.sice.oas.org/Trade/chibol/acuerdo_s.asp#Cap%C3%ADtulo_XVIII";NA;1;"Bolivia, Chile";NA;2;"BOL-CHL[BLV]_1993O"
423;"CHL-COL[NA]_1993O:CHL-COL[NA]_1993O";"Chile Colombia";"1993-12-06";"1994-01-01";"https://wits.worldbank.org/GPTAD/PDF/archive/Chile-Colombia.pdf";NA;NA;"Chile, Colombia";NA;2;"CHL-COL[NA]_1993O"
424;"RUS-UKR[RFU]_1993O";"Ukraine Russian Federation";"1993-06-24";"1994-02-21";"http://rtais.wto.org/rtadocs/580/TOA/English/FTA%20Ukraine%20-%20Russian%20Federation_ToA.doc";NA;NA;"Ukraine, Russia";NA;2;"RUS-UKR[URF]_1993O"
425;"MLNSSG_1993O";"Melanesian Spearhead Group (MSG)";"1993-07-22";"1993-09-01";"https://wits.worldbank.org/GPTAD/PDF/archive/MSG.pdf";NA;NA;"New Guinea, Solomon Islands, Vanuatu";NA;1;"MLNSSG_1993O"
426;"ECCWAS_1993O:ECCWAS_1975O";"Economic Community Of West African States (ECOWAS)";"1993-07-24";"1995-08-23";"https://www.wipo.int/edocs/lexdocs/treaties/en/ecowas/trt_ecowas.pdf";NA;NA;"Benin, Burkina Faso, Cape Verde, Ivory Coast, Gambia, Ghana, Guinea, Guinea Bissau, Liberia, Mali, Mauritania, Niger, Nigeria, Senegal, Sierra Leone, Togo";NA;1;"ECCWAS_1993O"
432;"CMMESA_1993O";"Common Market For Eastern And Southern Africa (COMESA)";"1993-11-05";"1994-12-06";"https://www.comesa.int/wp-content/uploads/2019/02/comesa-treaty-revised-20092012_with-zaire_final.pdf";NA;NA;"Angola, Burundi, Comoros, Djibouti, Eritrea, Ethiopia, Kenya, Lesotho, Madagascar, Malawi, Mauritius, Mozambique, Namibia, Rwanda, Seychelles, Somalia, Sudan, Swaziland, Tanzania, Uganda, Zaire, Zambia, Zimbabwe";NA;1;"CMMESA_1993O"
434;"ARM-MDA[MLD]_1993O";"Armenia Moldova";"1993-12-24";"1995-12-21";"https://www.wipo.int/wipolex/en/treaties/details/463";NA;1;"Armenia, Moldova";NA;2;"ARM-MDA[MLD]_1993O"
437;"ARM-KGZ[NA]_1994O";"Armenia Kyrgyzstan";"1994-07-04";"1995-09-27";"https://wits.worldbank.org/GPTAD/PDF/archive/Armenia-Kyrgyz%20Rep.pdf";NA;NA;"Armenia, Kyrgyzstan";NA;1;"ARM-KGZ[NA]_1994O"
439;"ASSCCS_1994O";"Association Of Caribbean States";"1994-07-24";"1995-08-04";"http://www.acs-aec.org/index.php?q=about/convention-establishing-the-association-of-caribbean-states";NA;NA;"Antigua and Barbuda, Bahamas, Barbados, Belize, Colombia, Costa Rica, Cuba, Dominica, Dominican Republic, El Salvador, Grenada, Guatemala, Guyana, Haiti, Honduras, Jamaica, Mexico, Nicaragua, Panama, St Kitts and Nevis, St Lucia, St Vincent and the Grenadines, Suriname, Trinidad and Tobago, Venezuela";NA;1;"ASSCCS_1994O"
441;"BOL-MEX[BLV]_1994O";"Bolivia Mexico";"1994-09-10";"1995-01-01";"http://www.sice.oas.org/Trade/mexbo_s/text_s.asp";"2010-06-07";NA;"Bolivia, Mexico";NA;1;"BOL-MEX[BLV]_1994O"
444;"CRBBCC_1994O";"Caribbean Community (CARICOM) Colombia";"1994-07-24";"1995-01-01";"http://www.sice.oas.org/trade/caricome.asp";NA;NA;"Colombia, Antigua and Barbuda, Bahamas, Barbados, Belize, Dominica, Grenada, Guyana, Haiti, Jamaica, Montserrat, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Suriname, Trinidad and Tobago";NA;2;"CRBBCC_1994O"
446;"CHL-ECU[NA]_1994O:CHL-ECU[NA]_1994O";"Chile Ecuador";"1994-12-20";"";"http://www.sice.oas.org/Trade/chilec/chec-m.asp";NA;NA;"Chile, Ecuador";NA;2;"CHL-ECU[NA]_1994O:CHL-ECU[NA]_1994O"
449;"CZE-ROU[NA]_1994O";"Czech Republic Romania";"1994-10-24";"1995-01-01";"https://www.global-regulation.com/translation/romania/3070576/law-no.-141-of-30-december-1994.html";NA;NA;"Czech Republic, Romania";NA;2;"CZE-ROU[NA]_1994O"
453;"GROUP_1994O3";"Group Of 3";"1994-06-13";"1995-01-01";"http://www.sice.oas.org/Trade/go3/G3INDICE.ASP";NA;NA;"Colombia, Mexico, Venezuela";NA;2;"GROUP_1994O3"
454;"HUN-SVN[NA]_1994O";"Hungary Slovenia";"1994-04-06";"";"https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=Q:/WT/REG/19-1.pdf&Open=True";NA;NA;"Hungary, Slovenia";NA;2;"HUN-SVN[NA]_1994O"
455;"ISRLPL_1994O";"Israel PLO";"1994-04-29";"1994-04-29";"https://unctad.org/system/files/information-document/ParisProtocol_en.pdf";NA;NA;"Israel, Palestine";NA;2;"ISRLPL_1994O"
462;"WSAEMU_1994O";"West African Economic And Monetary Union (WAEMU)";"1994-01-10";"1994-08-01";"https://edit.wti.org/document/show/pdf/57ce5bd9-ef38-4a1d-abd5-ed07f1f155bf";NA;NA;"Benin, Burkina Faso, Guinea-Bissau, Ivory Coast, Mali, Niger, Senegal, Togo";NA;1;"WSAEMU_1994O"
463;"CHE-FRO[NA]_1994O";"Faroe Islands Switzerland";"1994-01-12";"1995-03-01";"https://www.fedlex.admin.ch/eli/cc/1995/3925_3925_3925/fr";NA;NA;"Switzerland, Faroe Islands";NA;2;"CHE-FRO[NA]_1994O"
464;"GEO-RUS[RSF]_1994O";"Georgia Russian Federation";"1994-02-03";"";"http://rtais.wto.org/rtadocs/85/AnnexAndRelatedDocs/English/RF_Georgia FTA _text with protocols.doc";NA;NA;"Russia, Georgia";NA;2;"GEO-RUS[RSF]_1994O"
465;"MDA-ROU[MLD]_1994O";"Romania Moldova";"1994-02-15";"1995-01-01";"https://wits.worldbank.org/GPTAD/PDF/archive/Moldova-Romania.pdf";NA;NA;"Romania, Moldova";NA;2;"MDA-ROU[MLD]_1994O"
466;"ECMCCA_1994O";"Economic And Monetary Community Of Central Africa (CEMAC)";"1994-03-16";"1999-06-24";"https://www.wipo.int/wipolex/en/treaties/details/296";NA;NA;"cameroon, central african republic, chad, equatorial guinea, gabon, congo";NA;2;"ECMCCA_1994O"
468;"CRI-MEX[NA]_1994O:CRI-MEX[NA]_1982O";"Costa Rica Mexico";"1994-10-24";"1995-01-01";"https://www.global-regulation.com/translation/romania/3070576/law-no.-141-of-30-december-1994.html";NA;NA;"Mexico, Costa Rica";NA;2;"CRI-MEX[NA]_1994O"
470;"CMMNIS_1994O:CMMNIS_1994O";"Commonwealth Of Independent States (CIS)";"1994-04-15";"1994-12-30";"https://wits.worldbank.org/GPTAD/PDF/archive/CIS.pdf";NA;NA;"Azerbaijan, Armenia, Belarus, Georgia, Moldova, kazakhstan, Russia, Ukraine, Uzbekistan, Tajikistan, Kyrgyzstan";NA;2;"CMMNIS_1994O"
473;"ARM-KGZ[KYR]_1994O";"Kyrgyz Republic Armenia";"1994-07-04";"1995-10-27";"https://wits.worldbank.org/GPTAD/PDF/archive/Armenia-Kyrgyz%20Rep.pdf";NA;NA;"Kyrgyzstan, Armenia";NA;2;"ARM-KGZ[KYR]_1994O"
