HUGGOMetaData;;;;;;;;;;;
;manyID;Title;Signature;Force;url;End;Checked_HUGGO;Parties;No_source;MetaData_confirmed;treatyID
29;ERPFTA_1960O;European Free Trade Association (EFTA);04/01/1960;03/05/1960;https://raw.github.com/mappingtreaties/tota/master/xml/pta_138.xml;NA;NA;;NA;NA;ERPFTA_1960O
30;LTAFTA_1960O;Latin American Free Trade Area (LAFTA);18/02/1960;02/01/1962;https://docs.wto.org/gattdocs/q/GG/L1799/1157.PDF;12/08/1980;1;Argentina, Brazil, Chile, Colombia, Ecuador, Mexico, Paraguay, Peru, Uruguay;NA;1;LTAFTA_1960O
31;EFTA_1960A;EFTA (Stockholm Convention);01/04/1960;05/03/1960;https://wits.worldbank.org/GPTAD/PDF/archive/EFTA(StockholmConvention).pdf;NA;NA;;NA;NA;EFTA_1960A
32;CNTACM_1960O;Central American Common Market (CACM);13/12/1960;04/06/1961;http://www.sice.oas.org/Trade/sica/PDF/TratadoGralIntegracion60.pdf;NA;1;Guatemala, Honduras, El Salvador, Nicaragua, Costa Rica;NA;2;CNTACM_1960O
33;CSTRNP_1961O;Costa Rica Nicaragua Panama;01/01/1961;01/01/1962;NA;NA;NA;;1;NA;CSTRNP_1961O
34;EFTFNL_1961O;EFTA Finland;01/01/1961;01/01/1961;NA;NA;NA;;1;NA;EFTFNL_1961O
35;IRQ-SYR[SYR]_1961O:IRQ-SYR[SYR]_1961O;Iraq Syria;01/01/1961;NA;NA;NA;NA;;NA;NA;IRQ-SYR[SYR]_1961O:IRQ-SYR[SYR]_1961O
36;EQCUCA_1961O;Equatorial Customs Union Cameroon Accession1961;01/01/1961;01/01/1961;https://www.wto.org/gatt_docs/English/SULPDF/90760372.pdf;NA;NA;;NA;NA;EQCUCA_1961O
37;BFA-GHA[UVT]_1961A;Ghana Upper Volta Trade Agreement;28/06/1961;NA;https://www.wto.org/gatt_docs/English/SULPDF/90750288.pdf;NA;1;Upper Volta, Ghana;NA;2;BFA-GHA[UVT]_1961A
38;GRC-EC[ECA]_1961A;EEC Greece Association Agreement;09/07/1961;01/11/1962;https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31963D0106&from=HR;01/01/1981;1;Belgium, Germany, France, Italy, Luxembourg, Netherlands, Greece;NA;1;GRC-EC[ECA]_1961A
39;BRNFTA_1961O;Borneo Free Trade Area;24/10/1961;01/01/1962;https://raw.github.com/mappingtreaties/tota/master/xml/pta_175.xml;NA;NA;Sarawak, North Borneo;NA;NA;BRNFTA_1961O
40;ARBCMM_1962O;Arab Common Market;06/06/1962;30/04/1964;https://www.wto.org/gatt_docs/English/SULPDF/90780034.pdf;NA;1;Jordan, Syria, The United Arab Republic, Kuwait, Morocco;NA;NA;ARBCMM_1962O
41;JOR-SAU[SDA]_1962O;Jordan Saudi Arabia;01/01/1962;01/01/1962;NA;NA;NA;;1;NA;JOR-SAU[SDA]_1962O
42;SEN-TUN[NA]_1962O;Senegal Tunisia;01/01/1962;NA;NA;NA;NA;;NA;NA;SEN-TUN[NA]_1962O
43;AFRCCM_1962O;African Common Market;01/04/1962;01/07/1963;https://www.wto.org/gatt_docs/English/SULPDF/90760013.pdf;NA;1;Algeria, United Arab Republic, Ghana, Republic of Guinea, Mali, Morocco;NA;2;AFRCCM_1962O
