"","manyID","Title","Beg","Signature","Force","treatyID"
"199","AUS-NZL[NA]_1982O","Australia New Zealand (ANZCERTA)","1982-12-14","1982-12-14","1983-01-01","AUS-NZL[NA]_1982O"
"200","ARG-CRI[NA]_1983O","Argentina Costa Rica","1983-01-01","1983-01-01","1983-01-01","ARG-CRI[NA]_1983O"
"201","ARG-SLV[NA]_1983O","Argentina El Salvador","1983-01-01","1983-01-01",NA,"ARG-SLV[NA]_1983O"
"202","AUS-NZL[NA]_1983O","Australia New Zealand (ANZCERTA)","1983-01-01","1983-01-01","1983-01-01","AUS-NZL[NA]_1983O"
"203","CHL-PER[NA]_1983O:CHL-PER[NA]_1983O","Chile Peru","1983-01-01","1983-01-01",NA,"CHL-PER[NA]_1983O:CHL-PER[NA]_1983O"
"204","ECCCAS_1983O","Economic Community Of Central African States (ECCAS-CEEAC)","1983-01-01","1983-01-01","1984-01-01","ECCCAS_1983O"
"205","ECU-MEX[NA]_1983O","Ecuador Mexico","1983-01-01","1983-01-01","1983-01-01","ECU-MEX[NA]_1983O"
"206","SDN-TUN[SDN]_1983O","Sudan Tunisia","1983-01-01","1983-01-01","1984-01-01","SDN-TUN[SDN]_1983O"
"207","BTN-IND[NA]_1983O:BTN-IND[NA]_1949O","Bhutan India","1983-01-01","1983-01-01","1984-01-01","BTN-IND[NA]_1983O:BTN-IND[NA]_1949O"
"208","BRA-MEX[NA]_1983O:BRA-MEX[NA]_1983O","Brazil Mexico","1983-01-01","1983-01-01",NA,"BRA-MEX[NA]_1983O:BRA-MEX[NA]_1983O"
"209","MEX-PRY[NA]_1983O","Mexico Paraguay","1983-01-01","1983-01-01","1984-01-01","MEX-PRY[NA]_1983O"
"210","ECCAS_1983O","ECCAS","1983-10-18","1983-10-18","1993-10-18","ECCAS_1983O"
"211","ARG-CUB[NA]_1984O:ARG-CUB[NA]_1984O","Argentina Cuba","1984-01-01","1984-01-01",NA,"ARG-CUB[NA]_1984O:ARG-CUB[NA]_1984O"
"212","ARG-ECU[NA]_1984O:ARG-ECU[NA]_1984O","Argentina Ecuador","1984-01-01","1984-01-01","1984-01-01","ARG-ECU[NA]_1984O:ARG-ECU[NA]_1984O"
"213","COL-CRI[NA]_1984O:COL-CRI[NA]_1984O","Colombia Costa Rica","1984-01-01","1984-01-01","1985-01-01","COL-CRI[NA]_1984O:COL-CRI[NA]_1984O"
"214","COL-SLV[NA]_1984O","Colombia El Salvador","1984-01-01","1984-01-01","1985-01-01","COL-SLV[NA]_1984O"
"215","COL-GTM[NA]_1984O","Colombia Guatemala","1984-01-01","1984-01-01","1985-01-01","COL-GTM[NA]_1984O"
"216","COL-HND[NA]_1984O","Colombia Honduras","1984-01-01","1984-01-01","1985-01-01","COL-HND[NA]_1984O"
"217","COL-NIC[NA]_1984O","Colombia Nicaragua","1984-01-01","1984-01-01","1985-01-01","COL-NIC[NA]_1984O"
"218","LOME_1984O3:LOME_1975O1","Lome 3","1984-01-01","1984-01-01","1986-01-01","LOME_1984O3:LOME_1975O1"
"219","ARG-URY[NA]_1984O:ARG-URY[NA]_1974O","Argentina Uruguay","1984-01-01","1984-01-01",NA,"ARG-URY[NA]_1984O:ARG-URY[NA]_1974O"
"220","GRNLNS_1984O","Greenland Sweden","1984-01-01","1984-01-01","1985-01-01","GRNLNS_1984O"
"221","MDG-MUS[NA]_1984N","Madagascar Mauritius (under Indian Ocean Commission)","1984-01-01","1984-01-01",NA,"MDG-MUS[NA]_1984N"
"222","GTM-MEX[NA]_1984O:GTM-MEX[NA]_1984O","Guatemala Mexico1984","1984-01-01","1984-01-01","1984-01-01","GTM-MEX[NA]_1984O:GTM-MEX[NA]_1984O"
"223","HND-MEX[NA]_1984O","Honduras Mexico1984","1984-01-01","1984-01-01","1984-01-01","HND-MEX[NA]_1984O"
"224","LOMEII_1984O","Lome III1984","1984-01-01","1984-01-01","1984-01-01","LOMEII_1984O"
"225","ARG-URY[NA]_1984O:ARG-URY[NA]_1982O","Argentina Uruguay1984","1984-01-01","1984-01-01","1984-01-01","ARG-URY[NA]_1984O:ARG-URY[NA]_1982O"
"226","CHN-IND[NA]_1984O","China India","1984-08-15","1984-08-15","1984-08-15","CHN-IND[NA]_1984O"
"227","LOME_1984A3:LOME_1975A1","3 Convention Of Lome","1984-12-08","1984-12-08","1986-03-01","LOME_1984A3:LOME_1975A1"
"228","CHL-URY[NA]_1985O:CHL-URY[NA]_1985O","Chile Uruguay","1985-01-01","1985-01-01","1985-01-01","CHL-URY[NA]_1985O:CHL-URY[NA]_1985O"
"229","CUB-MEX[NA]_1985O:CUB-MEX[NA]_1985O","Cuba Mexico","1985-01-01","1985-01-01","1985-01-01","CUB-MEX[NA]_1985O:CUB-MEX[NA]_1985O"
"230","GRNLNI_1985O","Greenland Iceland","1985-01-01","1985-01-01","1985-01-01","GRNLNI_1985O"
"231","GTM-MEX[NA]_1985O:GTM-MEX[NA]_1985O","Guatemala Mexico","1985-01-01","1985-01-01",NA,"GTM-MEX[NA]_1985O:GTM-MEX[NA]_1985O"
"232","GTM-VEN[VNZ]_1985O","Guatemala Venezuela","1985-01-01","1985-01-01","1986-01-01","GTM-VEN[VNZ]_1985O"
"233","HND-MEX[NA]_1985O:HND-MEX[NA]_1985O","Honduras Mexico","1985-01-01","1985-01-01",NA,"HND-MEX[NA]_1985O:HND-MEX[NA]_1985O"
"234","MEX-NIC[NA]_1985O:MEX-NIC[NA]_1985O","Mexico Nicaragua","1985-01-01","1985-01-01","1985-01-01","MEX-NIC[NA]_1985O:MEX-NIC[NA]_1985O"
"235","MEX-PAN[NA]_1985O:MEX-PAN[NA]_1985O","Mexico Panama","1985-01-01","1985-01-01","1986-01-01","MEX-PAN[NA]_1985O:MEX-PAN[NA]_1985O"
"236","ECENLR_1985O:ECENLR_1972O","EC (12) Enlargement1987","1985-01-01","1985-01-01","1985-01-01","ECENLR_1985O:ECENLR_1972O"
"237","ISRLUS_1985O","Israel US1985","1985-01-01","1985-01-01","1985-01-01","ISRLUS_1985O"
"238","ISR-USA[NA]_1985O","US Israel","1985-04-22","1985-04-22","1985-08-19","ISR-USA[NA]_1985O"
"239","DOM-PAN[NA]_1985O","Panama Dominican Republic","1985-07-17","1985-07-17","1987-06-08","DOM-PAN[NA]_1985O"
"240","ARG-BRA[NA]_1986O:ARG-BRA[NA]_1986O","Argentina Brazil","1986-01-01","1986-01-01","1987-01-01","ARG-BRA[NA]_1986O:ARG-BRA[NA]_1986O"
"241","ARG-MEX[NA]_1986O:ARG-MEX[NA]_1986O","Argentina Mexico","1986-01-01","1986-01-01","1987-01-01","ARG-MEX[NA]_1986O:ARG-MEX[NA]_1986O"
"242","ARG-VEN[VNZ]_1986O:ARG-VEN[VNZ]_1986O","Argentina Venezuela","1986-01-01","1986-01-01","1988-01-01","ARG-VEN[VNZ]_1986O:ARG-VEN[VNZ]_1986O"
"243","BRA-URY[NA]_1986O:BRA-URY[NA]_1982O","Brazil Uruguay","1986-01-01","1986-01-01","1986-01-01","BRA-URY[NA]_1986O:BRA-URY[NA]_1982O"
"244","CRI-VEN[VNZ]_1986O","Costa Rica Venezuela","1986-01-01","1986-01-01","1986-01-01","CRI-VEN[VNZ]_1986O"
"245","ECSNEA_1986A","EC Single European Act","1986-01-01","1986-01-01","1987-01-01","ECSNEA_1986A"
"246","MEX-SLV[NA]_1986O","El Salvador Mexico","1986-01-01","1986-01-01","1986-01-01","MEX-SLV[NA]_1986O"
"247","PAN-SLV[NA]_1986O","El Salvador Panama","1986-01-01","1986-01-01","1974-01-01","PAN-SLV[NA]_1986O"
"248","SLV-VEN[VNZ]_1986O","El Salvador Venezuela","1986-01-01","1986-01-01","1986-01-01","SLV-VEN[VNZ]_1986O"
"249","HND-VEN[VNZ]_1986O","Honduras Venezuela","1986-01-01","1986-01-01","1986-01-01","HND-VEN[VNZ]_1986O"
"250","JOR-KWT[NA]_1986O:JOR-KWT[NA]_1986O","Jordan Kuwait","1986-01-01","1986-01-01","1986-01-01","JOR-KWT[NA]_1986O:JOR-KWT[NA]_1986O"
"251","MAR-MRT[NA]_1986O","Mauritania Morocco","1986-01-01","1986-01-01","1993-01-01","MAR-MRT[NA]_1986O"
"252","MEX-URY[NA]_1986O:MEX-URY[NA]_1986O","Mexico Uruguay","1986-01-01","1986-01-01","1986-01-01","MEX-URY[NA]_1986O:MEX-URY[NA]_1986O"
"253","NIC-VEN[VNZ]_1986O","Nicaragua Venezuela","1986-01-01","1986-01-01","1992-01-01","NIC-VEN[VNZ]_1986O"
"254","ANDNGQ_1987P","Andean Group Quito Protocol","1987-01-01","1987-01-01","1988-01-01","ANDNGQ_1987P"
"255","CUB-PER[NA]_1987O:CUB-PER[NA]_1987O","Cuba Peru","1987-01-01","1987-01-01","1987-01-01","CUB-PER[NA]_1987O:CUB-PER[NA]_1987O"
"256","CUB-URY[NA]_1987O:CUB-URY[NA]_1987O","Cuba Uruguay","1987-01-01","1987-01-01",NA,"CUB-URY[NA]_1987O:CUB-URY[NA]_1987O"
"257","MEX-PER[NA]_1987O:MEX-PER[NA]_1987O","Mexico Peru","1987-01-01","1987-01-01","1987-01-01","MEX-PER[NA]_1987O:MEX-PER[NA]_1987O"
"258","ANDNCM_1987O","Andean Community (CAN)","1987-05-12","1987-05-12","1988-05-25","ANDNCM_1987O"
"259","ARG-BRA[NA]_1988O:ARG-BRA[NA]_1986O","Argentina Brazil","1988-01-01","1988-01-01","1989-01-01","ARG-BRA[NA]_1988O:ARG-BRA[NA]_1986O"
"260","ARG-COL[NA]_1988O","Argentina Colombia","1988-01-01","1988-01-01","1988-01-01","ARG-COL[NA]_1988O"
"261","ARG-PER[NA]_1988O","Argentina Peru","1988-01-01","1988-01-01","1988-01-01","ARG-PER[NA]_1988O"
"262","AUS-NZL[SRV]_1988P","Australia New Zealand (ANZCERTA) Protocol On Services","1988-01-01","1988-01-01","1989-01-01","AUS-NZL[SRV]_1988P"
"263","BWA-ZWE[NA]_1988O","Botswana Zimbabwe","1988-01-01","1988-01-01",NA,"BWA-ZWE[NA]_1988O"
"264","CAN-USA[NA]_1988O","Canada US","1988-01-01","1988-01-01","1989-01-01","CAN-USA[NA]_1988O"
"265","COL-CUB[NA]_1988O:COL-CUB[NA]_1988O","Colombia Cuba","1988-01-01","1988-01-01",NA,"COL-CUB[NA]_1988O:COL-CUB[NA]_1988O"
"266","EGY-MAR[NA]_1988O:EGY-MAR[NA]_1976O","Egypt Morocco","1988-01-01","1988-01-01",NA,"EGY-MAR[NA]_1988O:EGY-MAR[NA]_1976O"
"267","GLBSTP_1988O","Global System Of Trade Preferences (GSTP)","1988-01-01","1988-01-01","1989-01-01","GLBSTP_1988O"
"268","KWT-TUN[NA]_1988O","Kuwait Tunisia","1988-01-01","1988-01-01","1989-01-01","KWT-TUN[NA]_1988O"
"269","CANDUS_1988O","Canada US1988","1988-01-01","1988-01-01","1988-01-01","CANDUS_1988O"
"270","AUS-NZL[ANS]_1988O","Australia New Zealand ANZCERTA Services1988","1988-01-01","1988-01-01","1988-01-01","AUS-NZL[ANS]_1988O"
"271","CAN-USA[FRT]_1988A","Canada US Free Trade Agreement (CUSFTA)","1988-01-02","1988-01-02","1989-01-01","CAN-USA[FRT]_1988A"
"272","GS04DC_1988O","Global System Of Trade Preferences Among Developing Countries (GSTP)","1988-04-13","1988-04-13","1989-04-19","GS04DC_1988O"
"273","GSTP_1988O","GSTP","1988-04-13","1988-04-13","1989-04-19","GSTP_1988O"
"274","MAR-ALG[NA]_1989O:MAR-ALG[NA]_1973O","Algeria Morocco","1989-01-01","1989-01-01","1989-01-01","MAR-ALG[NA]_1989O:MAR-ALG[NA]_1973O"
"275","ANDRRE_1989O","Andorra EC","1989-01-01","1989-01-01","1991-01-01","ANDRRE_1989O"
"276","ARG-MEX[NA]_1989O:ARG-MEX[NA]_1986O","Argentina Mexico","1989-01-01","1989-01-01","1989-01-01","ARG-MEX[NA]_1989O:ARG-MEX[NA]_1986O"
"277","ARG-PRY[NA]_1989O","Argentina Paraguay","1989-01-01","1989-01-01","1989-01-01","ARG-PRY[NA]_1989O"
"278","BRA-CUB[NA]_1989O:BRA-CUB[NA]_1989O","Brazil Cuba","1989-01-01","1989-01-01","1989-01-01","BRA-CUB[NA]_1989O:BRA-CUB[NA]_1989O"
"279","JOR-SDN[SDE]_1989E","Jordan Sudan Amended","1989-01-01","1989-01-01","1989-01-01","JOR-SDN[SDE]_1989E"
"280","LOME_1989O4:LOME_1975O1","Lome 4","1989-01-01","1989-01-01","1991-01-01","LOME_1989O4:LOME_1975O1"
"281","TTO-VEN[VNZ]_1989O","Trinidad And Tobago Venezuela","1989-01-01","1989-01-01","1989-01-01","TTO-VEN[VNZ]_1989O"
"282","LOMEIV_1989O","Lome IV1989","1989-01-01","1989-01-01","1989-01-01","LOMEIV_1989O"
"283","ARBMGU_1989O","Arab Maghreb Union","1989-02-17","1989-02-17","1989-01-01","ARBMGU_1989O"
"284","ARG-BRA[NA]_1990O:ARG-BRA[NA]_1986O","Argentina Brazil","1990-01-01","1990-01-01","1990-01-01","ARG-BRA[NA]_1990O:ARG-BRA[NA]_1986O"
"285","EGY-LBY[LBY]_1990O:EGY-LBY[LBY]_1990O","Egypt Libya","1990-01-01","1990-01-01","1991-01-01","EGY-LBY[LBY]_1990O:EGY-LBY[LBY]_1990O"
"286","GUY-VEN[VNZ]_1990O","Guyana Venezuela","1990-01-01","1990-01-01","1991-01-01","GUY-VEN[VNZ]_1990O"
"287","LBY-MAR[LBY]_1990O","Libya Morocco","1990-01-01","1990-01-01","1990-01-01","LBY-MAR[LBY]_1990O"
"288","BTN-IND[NA]_1990O:BTN-IND[NA]_1949O","Bhutan India","1990-01-01","1990-01-01",NA,"BTN-IND[NA]_1990O:BTN-IND[NA]_1949O"
"289","MWI-ZAF[NA]_1990A","Malawi South Africa","1990-01-01","1990-01-01",NA,"MWI-ZAF[NA]_1990A"
"290","ANDRRE_1990O","Andorra EC1990","1990-01-01","1990-01-01","1990-01-01","ANDRRE_1990O"
"291","ECANDR_1990O","EC Andorra","1990-06-28","1990-06-28","1991-01-07","ECANDR_1990O"
"292","AFRCEC_1991O","African Economic Community","1991-01-01","1991-01-01","1994-01-01","AFRCEC_1991O"
"293","ARG-CHL[NA]_1991O:ARG-CHL[NA]_1991O","Argentina Chile","1991-01-01","1991-01-01","1991-01-01","ARG-CHL[NA]_1991O:ARG-CHL[NA]_1991O"
"294","AUS-PNG[NA]_1991O:AUS-PNG[NA]_1976O","Australia Papua New Guinea","1991-01-01","1991-01-01","1991-01-01","AUS-PNG[NA]_1991O:AUS-PNG[NA]_1976O"
"295","BOL-URY[BLV]_1991O","Bolivia Uruguay","1991-01-01","1991-01-01","1991-01-01","BOL-URY[BLV]_1991O"
"296","CNTAIS_1991O","Central American Integration System","1991-01-01","1991-01-01","1992-01-01","CNTAIS_1991O"
"297","CHL-MEX[NA]_1991O:CHL-MEX[NA]_1991O","Chile Mexico","1991-01-01","1991-01-01","1992-01-01","CHL-MEX[NA]_1991O:CHL-MEX[NA]_1991O"
"298","CZCHRE_1991O","Czech Republic EC","1991-01-01","1991-01-01","1995-01-01","CZCHRE_1991O"
"299","ECFRIS_1991O:ECFRIS_1991O","EC Faroe Islands","1991-01-01","1991-01-01","1992-01-01","ECFRIS_1991O:ECFRIS_1991O"
"300","ECNCOP_1991O","Economic Cooperation Organization (ECO) Preferences","1991-01-01","1991-01-01","1992-01-01","ECNCOP_1991O"
"301","EGY-SYR[SYR]_1991O:EGY-SYR[SYR]_1958O","Egypt Syria","1991-01-01","1991-01-01","1991-01-01","EGY-SYR[SYR]_1991O:EGY-SYR[SYR]_1958O"
"302","EST-SWE[NA]_1991O","Estonia Sweden","1991-01-01","1991-01-01","1992-01-01","EST-SWE[NA]_1991O"
"303","LTU-SWE[NA]_1991O","Lithuania Sweden","1991-01-01","1991-01-01","1992-01-01","LTU-SWE[NA]_1991O"
"304","GTM-SLV[NA]_1991O","El Salvador Guatemala","1991-01-01","1991-01-01","1991-01-01","GTM-SLV[NA]_1991O"
"305","AEC_1991O","AEC","1991-03-06","1991-03-06",NA,"AEC_1991O"
"306","STHRCM_1991O","Southern Common Market (MERCOSUR)","1991-03-26","1991-03-26","1991-11-29","STHRCM_1991O"
"307","MERCSR_1991O","MERCOSUR","1991-03-26","1991-03-26","1991-11-29","MERCSR_1991O"
"308","IND-NPL[NA]_1991O:IND-NPL[NA]_1991O","India Nepaln","1991-06-12","1991-06-12","1991-06-12","IND-NPL[NA]_1991O"
"309","LAO-THA[LAS]_1991O","Lao Peoples Democratic Republic Thailand","1991-06-20","1991-06-20","1991-06-20","LAO-THA[LPD]_1991O"
"310","AND-EUE[NA]_1991O","EU Andorra","1991-06-28","1991-06-28","1991-07-01","AND-EUE[NA]_1991O"
"311","ECFRIS_1991A","EC Faeroe Islands Agreement Of 1992","1991-12-02","1991-12-02","1992-01-01","ECFRIS_1991A"
"312","EFTTRK_1991O:EFTTRK_1991O","EFTA Turkey","1991-12-10","1991-12-10","1992-04-01","EFTTRK_1991O"
"313","CZE-SVK[CSI]_1991A","EC Czech And Slovak Federal Republic Interim Agreement","1991-12-16","1991-12-16","1992-03-01","CZE-SVK[CSI]_1991A"
"314","ECHNGE_1991A","EC Hungary Europe Agreement","1991-12-16","1991-12-16","1994-02-01","ECHNGE_1991A"
"315","ECHNGI_1991A","EC Hungary Interim Agreement Of 1991","1991-12-16","1991-12-16","1992-03-01","ECHNGI_1991A"
"316","ECPLNE_1991A","EC Poland Europe Agreement","1991-12-16","1991-12-16","1994-02-01","ECPLNE_1991A"
"317","ECPLNI_1991A","EC Poland Interim Agreement Of 1991","1991-12-16","1991-12-16","1992-03-01","ECPLNI_1991A"
"318","EUE-SMR[NA]_1991O","EU San Marino","1991-12-16","1991-12-16","2002-04-01","EUE-SMR[NA]_1991O"
"319","ECHNGR_1991O","EC Hungary","1991-12-16","1991-12-16","1992-01-03","ECHNGR_1991O"
"320","ECPLND_1991O","EC Poland","1991-12-16","1991-12-16","1992-01-03","ECPLND_1991O"
"321","ECSNMR_1991O","EC San Marino","1991-12-16","1991-12-16","2002-01-04","ECSNMR_1991O"
"322","ARG-BOL[BLV]_1992O","Argentina Bolivia","1992-01-01","1992-01-01","1992-01-01","ARG-BOL[BLV]_1992O"
"323","ARG-VEN[VNZ]_1992O:ARG-VEN[VNZ]_1986O","Argentina Venezuela","1992-01-01","1992-01-01","1995-01-01","ARG-VEN[VNZ]_1992O:ARG-VEN[VNZ]_1986O"
"324","AZE-RUS[RSS]_1992O","Azerbaijan Russia","1992-01-01","1992-01-01","1993-01-01","AZE-RUS[RSS]_1992O"
"325","BRA-CUB[NA]_1992O:BRA-CUB[NA]_1989O","Brazil Cuba","1992-01-01","1992-01-01","1992-01-01","BRA-CUB[NA]_1992O:BRA-CUB[NA]_1989O"
"326","CRBBCV_1992O","Caribbean Community (CARICOM) Venezuela","1992-01-01","1992-01-01","1993-01-01","CRBBCV_1992O"
"327","CZE-SVK[NA]_1992O","Czech Republic Slovakia","1992-01-01","1992-01-01","1993-01-01","CZE-SVK[NA]_1992O"
"328","ECMSTR_1992O","EC Maastricht","1992-01-01","1992-01-01","1993-01-01","ECMSTR_1992O"
"329","EST-FIN[NA]_1992O","Estonia Finland","1992-01-01","1992-01-01","1992-01-01","EST-FIN[NA]_1992O"
"330","EST-NOR[NA]_1992O","Estonia Norway","1992-01-01","1992-01-01","1992-01-01","EST-NOR[NA]_1992O"
"331","CHE-EST[NA]_1992O","Estonia Switzerland","1992-01-01","1992-01-01","1993-01-01","CHE-EST[NA]_1992O"
"332","FRO-SWE[NA]_1992O:FRO-SWE[NA]_1975O","Faroe Islands Sweden","1992-01-01","1992-01-01",NA,"FRO-SWE[NA]_1992O:FRO-SWE[NA]_1975O"
"333","FIN-LVA[NA]_1992O","Finland Latvia","1992-01-01","1992-01-01","1993-01-01","FIN-LVA[NA]_1992O"
"334","FIN-LTU[NA]_1992O","Finland Lithuania","1992-01-01","1992-01-01","1993-01-01","FIN-LTU[NA]_1992O"
"335","JOR-LBN[NA]_1992O:JOR-LBN[NA]_1992O","Jordan Lebanon","1992-01-01","1992-01-01","1993-01-01","JOR-LBN[NA]_1992O:JOR-LBN[NA]_1992O"
"336","JOR-LBY[LBY]_1992O","Jordan Libya","1992-01-01","1992-01-01","1992-01-01","JOR-LBY[LBY]_1992O"
"337","KAZ-RUS[RSS]_1992O","Kazakhstan Russia","1992-01-01","1992-01-01","1998-01-01","KAZ-RUS[RSS]_1992O"
"338","LVA-NOR[NA]_1992O","Latvia Norway","1992-01-01","1992-01-01","1992-01-01","LVA-NOR[NA]_1992O"
"339","LVA-SWE[NA]_1992O","Latvia Sweden","1992-01-01","1992-01-01","1992-01-01","LVA-SWE[NA]_1992O"
"340","CHE-LVA[NA]_1992O","Latvia Switzerland","1992-01-01","1992-01-01","1993-01-01","CHE-LVA[NA]_1992O"
"341","LTU-NOR[NA]_1992O","Lithuania Norway","1992-01-01","1992-01-01","1992-01-01","LTU-NOR[NA]_1992O"
"342","CHE-LTU[NA]_1992O","Lithuania Switzerland","1992-01-01","1992-01-01","1993-01-01","CHE-LTU[NA]_1992O"
"343","NAM-ZWE[NA]_1992O","Namibia Zimbabwe","1992-01-01","1992-01-01","1992-01-01","NAM-ZWE[NA]_1992O"
"344","RUS-TKM[RSS]_1992O","Russia Turkmenistan","1992-01-01","1992-01-01","1993-01-01","RUS-TKM[RSS]_1992O"
"345","STHADC_1992O:STHADC_1992O","Southern African Development Community (SADC)","1992-01-01","1992-01-01","1993-01-01","STHADC_1992O:STHADC_1992O"
"346","CRSSBI_1992O","Cross Boarder Initiative","1992-01-01","1992-01-01",NA,"CRSSBI_1992O"
"347","FIN-FRO[NA]_1992O","Faroe Islands Finland","1992-01-01","1992-01-01","1993-01-01","FIN-FRO[NA]_1992O"
"348","CHE-FRO[NA]_1992O","Faroe Islands Switzerland","1992-01-01","1992-01-01","1992-01-01","CHE-FRO[NA]_1992O"
"349","ECCZCR_1992O","EC Czech Republic","1992-01-03",NA,"1992-01-03","ECCZCR_1992O"
"350","ECSLVR_1992O","EC Slovak Republic","1992-01-03",NA,"1992-01-03","ECSLVR_1992O"
"351","EFTCZR_1992O","EFTA Czech Republicn","1992-01-07",NA,"1992-01-07","EFTCZR_1992O"
"352","ASNFTA_1992O","ASEAN Free Trade Area (AFTA)","1992-01-28","1992-01-28","1993-01-01","ASNFTA_1992O"
"353","ASEAN_1992O","ASEAN (AFTA)","1992-01-28","1992-01-28","1992-10-30","ASEAN_1992O"
"354","EEA_1992O","EEA","1992-02-05","1992-02-05","1994-01-01","EEA_1992O"
"355","EST-FIN[NA]_1992P","Finland Estonia Protocol","1992-02-13","1992-02-13","1992-12-01","EST-FIN[NA]_1992P"
"356","LVA-SWE[FRT]_1992A","Latvia Sweden Free Trade Agreement","1992-03-10","1992-03-10","1992-07-01","LVA-SWE[FRT]_1992A"
"357","LTU-SWE[FRT]_1992A","Lithuania Sweden Free Trade Agreement","1992-03-17","1992-03-17","1992-07-01","LTU-SWE[FRT]_1992A"
"358","EFTCZC_1992O","EFTA Czechoslovakia","1992-03-20","1992-03-20","1992-07-01","EFTCZC_1992O"
"359","EST-SWE[FRT]_1992A","Estonia Sweden Free Trade Agreement","1992-03-31","1992-03-31","1992-07-01","EST-SWE[FRT]_1992A"
"360","ERPNEA_1992O","European Economic Area (EEA)","1992-05-02","1992-05-02","1994-01-01","ERPNEA_1992O"
"361","FIN-LTU[NA]_1992P","Finland Lithuania Protocol","1992-06-05","1992-06-05","1993-07-01","FIN-LTU[NA]_1992P"
"362","FRO-ISL[NA]_1992O:FRO-ISL[NA]_1992O","Faroe Islands Iceland","1992-06-08","1992-06-08","1993-01-07","FRO-ISL[NA]_1992O:FRO-ISL[NA]_1992O"
"363","EST-NOR[FRT]_1992A","Estonia Norway Free Trade Agreement","1992-06-15","1992-06-15","1992-06-15","EST-NOR[FRT]_1992A"
"364","LVA-NOR[FRT]_1992A","Latvia Norway Free Trade Agreement","1992-06-15","1992-06-15","1992-06-16","LVA-NOR[FRT]_1992A"
"365","LTU-NOR[FRT]_1992A","Lithuania Norway Free Trade Agreement","1992-06-15","1992-06-15","1992-06-16","LTU-NOR[FRT]_1992A"
"366","FRO-ISL[FRI]_1992O","Faeroe Islands Iceland","1992-08-06","1992-08-06","1993-07-01","FRO-ISL[FRI]_1992O"
"367","KGZ-RUS[RSS]_1992O","Kyrgyzstan Russia","1992-08-10","1992-08-10","1993-03-24","KGZ-RUS[RSS]_1992O"
"368","FRO-NOR[NA]_1992O","Faroe Islands Norway","1992-08-28","1992-08-28","1993-07-01","FRO-NOR[NA]_1992O"
"369","EFTISR_1992O","EFTA Israel","1992-09-17","1992-09-17","1993-01-01","EFTISR_1992O"
"370","ARM-RUS[RSF]_1992O","Armenia Russian Federation","1992-09-30","1992-09-30","1993-03-25","ARM-RUS[RSF]_1992O"
"371","AZE-RUS[RSF]_1992O","Russian Federation Azerbaijan","1992-09-30","1992-09-30","1993-02-17","AZE-RUS[RSF]_1992O"
"372","KGZ-RUS[KRF]_1992O","Kyrgyz Republic Russian Federation","1992-10-08","1992-10-08","1993-04-24","KGZ-RUS[KRF]_1992O"
"373","RUS-TJK[RSF]_1992O","Russian Federation Tajikistan","1992-10-10","1992-10-10","1993-04-08","RUS-TJK[RSF]_1992O"
"374","EFTPLN_1992O","EFTA Poland","1992-10-12","1992-10-12","1993-11-15","EFTPLN_1992O"
"375","EFTRMN_1992O","EFTA Romania","1992-10-12","1992-10-12","1993-01-05","EFTRMN_1992O"
"376","CRCMVN_1992O","CARICOM Venezuela","1992-10-13","1992-10-13",NA,"CRCMVN_1992O"
"377","KAZ-RUS[RSF]_1992O","Russian Federation Kazakhstan","1992-10-22","1992-10-22","1993-06-07","KAZ-RUS[RSF]_1992O"
"378","CZE-SVK[CSE]_1992O","Czech Republic Slovak Republic Customs Union","1992-10-29","1992-10-29","1993-01-01","CZE-SVK[SCU]_1992O"
"379","RUS-TKM[RSF]_1992O","Russian Federation Turkmenistan","1992-11-11","1992-11-11","1993-04-06","RUS-TKM[RSF]_1992O"
"380","BLR-RUS[RSF]_1992O:BLR-RUS[RSS]_1992O","Russian Federation Belarus","1992-11-13","1992-11-13","1993-04-20","BLR-RUS[RSF]_1992O"
"381","RUS-UZB[RSF]_1992O","Russian Federation Uzbekistan","1992-11-13","1992-11-13","1993-03-25","RUS-UZB[RSF]_1992O"
"382","CHE-LTU[FRT]_1992A","Lithuania Switzerland Free-Trade Agreement","1992-11-24","1992-11-24","1993-04-01","CHE-LTU[FRT]_1992A"
"383","FIN-LVA[NA]_1992P","Finland Latvia Protocol","1992-11-26","1992-11-26","1993-07-01","FIN-LVA[NA]_1992P"
"384","EFTPLN_1992A","EFTA Poland Agreement","1992-12-10","1992-12-10","1993-11-15","EFTPLN_1992A"
"385","EFTRFT_1992A","EFTA Romania Free Trade Agreement","1992-12-10","1992-12-10","1993-05-01","EFTRFT_1992A"
"386","NRTAFT_1992A","North American Free Trade Agreement (NAFTA)","1992-12-17","1992-12-17","1994-01-01","NRTAFT_1992A"
"387","BLR-UKR[UKR]_1992O","Ukraine Belarus","1992-12-17","1992-12-17","2006-11-11","BLR-UKR[UKR]_1992O"
"388","CNTEFT_1992A","Central European Free Trade Agreement (CEFTA)","1992-12-21","1992-12-21","1993-03-01","CNTEFT_1992A"
"389","CHE-EST[FRT]_1992A","Estonia Switzerland Free Trade Agreement","1992-12-21","1992-12-21","1993-04-01","CHE-EST[FRT]_1992A"
"390","CEFTA_1992O:CEFTA_1992O","CEFTA","1992-12-21","1992-12-21","1994-01-07","CEFTA_1992O:CEFTA_1992O"
